region,selectivity,method,grp,metric,value
Core,40,cuckoo,FLOPS_AVX,CPI,0.417131683168317
Core,50,cuckoo,FLOPS_AVX,CPI,0.419538613861386
Core,60,cuckoo,FLOPS_AVX,CPI,0.421414851485149
Core,70,cuckoo,FLOPS_AVX,CPI,0.544745544554456
Core,80,cuckoo,FLOPS_AVX,CPI,0.540625742574257
Core,90,cuckoo,FLOPS_AVX,CPI,0.54119801980198
Core,10,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,73784208.3168317
Core,20,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,59040056.1386139
Core,30,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,59484731.3861386
Core,40,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,59814362.6732673
Core,50,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,60210907.3267327
Core,60,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,60630028.3168317
Core,70,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,78456664.0594059
Core,80,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,78007728.4158416
Core,90,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_CORE,78212491.4851485
Core,10,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,76677686.6336634
Core,20,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,49536177.1287129
Core,30,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,49868685.3465347
Core,40,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,50138052.7722772
Core,50,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,50469765.3465347
Core,60,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,50820632.970297
Core,70,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,81533463.7623762
Core,80,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,81066954.8514851
Core,90,cuckoo,FLOPS_AVX,CPU_CLK_UNHALTED_REF,81279745.5445545
Core,10,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,20,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,30,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,40,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,50,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,60,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,70,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,80,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0.0099009900990099
Core,90,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,0
Core,10,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,20,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,30,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,40,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,50,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,60,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,70,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,80,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,90,cuckoo,FLOPS_AVX,FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,0
Core,10,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,142462655.445545
Core,20,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,142767604.950495
Core,30,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,143109000.990099
Core,40,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,143383552.475248
Core,50,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,143508381.188119
Core,60,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,143864347.524752
Core,70,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,144012383.168317
Core,80,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,144291075.247525
Core,90,cuckoo,FLOPS_AVX,INSTR_RETIRED_ANY,144515864.356436
Core,10,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,20,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,30,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,40,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,50,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,60,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,70,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,80,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,9.9009900990099e-07
Core,90,cuckoo,FLOPS_AVX,PackedDPMFLOP/s,0
Core,10,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
Core,20,cuckoo,FLOPS_AVX,PackedSPMFLOP/s,0
